Operation,Threads,TXTotal,AccumTime,T2E,T2F,TXPass,PassTime,TXExceed,ExceedTime,TXFail,FailTime,Skipped,CombinedPassOps,ThreadOps,Avr-ms-per-op,Success,Exceed,Fail,
ds-authenticate~0,1,500,2185,50,100,500,2185,0,0,0,0,0,228.83,228.83,4.37,100.00%,0.00%,0.00%,
ds-authenticate~1,2,1000,5137,50,100,1000,5137,0,0,0,0,0,389.33,194.67,2.57,100.00%,0.00%,0.00%,
ds-authenticate~2,3,1500,10536,50,100,1483,9172,11,728,6,636,0,452.73,150.91,2.21,98.87%,0.73%,0.40%,
ds-authenticate~3,4,2000,14530,50,100,1955,11740,44,2688,1,102,0,554.20,138.55,1.80,97.75%,2.20%,0.05%,
ds-authenticate~4,5,2500,20909,50,100,2425,16356,75,4553,0,0,0,597.83,119.57,1.67,97.00%,3.00%,0.00%,
ds-authenticate~5,6,3000,30773,50,100,2885,23450,113,7114,2,209,0,588.54,98.09,1.70,96.17%,3.77%,0.07%,
ds-authenticate~6,7,3500,43284,50,100,3332,32254,162,10405,6,625,0,573.34,81.91,1.74,95.20%,4.63%,0.17%,
ds-authenticate~7,8,4000,63665,50,100,3697,41024,240,16079,63,6562,0,551.56,68.95,1.81,92.43%,6.00%,1.58%,
ds-authenticate~8,9,4500,60962,50,100,4303,47979,189,12157,8,826,0,672.28,74.70,1.49,95.62%,4.20%,0.18%,
ds-authenticate~9,10,5000,78313,50,100,4722,59916,269,17455,9,942,0,645.07,64.51,1.55,94.44%,5.38%,0.18%,
ds-authenticate~10,11,5500,95977,50,100,5105,69310,377,24796,18,1871,0,640.79,58.25,1.56,92.82%,6.85%,0.33%,
ds-authenticate~11,12,6000,109106,50,100,5513,72497,387,26200,100,10409,0,717.35,59.78,1.39,91.88%,6.45%,1.67%,
ds-authenticate~12,13,6500,105440,50,100,6171,83381,317,20818,12,1241,0,809.45,62.27,1.24,94.94%,4.88%,0.18%,
ds-authenticate~13,14,7000,121084,50,100,6573,92686,409,26536,18,1862,0,819.88,58.56,1.22,93.90%,5.84%,0.26%,
ds-authenticate~14,15,7500,136666,50,100,6995,100009,406,26340,99,10317,0,878.64,58.58,1.14,93.27%,5.41%,1.32%,
ds-authenticate~15,16,8000,139000,50,100,7577,109758,375,24236,48,5006,0,949.54,59.35,1.05,94.71%,4.69%,0.60%,
ds-authenticate~16,17,8500,133447,50,100,8182,112233,313,20703,5,511,0,1086.35,63.90,0.92,96.26%,3.68%,0.06%,
ds-authenticate~17,18,9000,149528,50,100,8586,120781,382,25430,32,3317,0,1104.05,61.34,0.91,95.40%,4.24%,0.36%,
ds-authenticate~18,19,9500,154252,50,100,9102,124367,325,22286,73,7599,0,1221.34,64.28,0.82,95.81%,3.42%,0.77%,
ds-authenticate~19,20,10000,145108,50,100,9718,125350,250,16460,32,3298,0,1405.82,70.29,0.71,97.18%,2.50%,0.32%,
